\u65f6\u95f4	\u65b9\u5411	OpId	\u547d\u4ee4	\u957f\u5ea6	\u6458\u8981	Hex
2026-03-26 15:27:37.893	EVT*	-1	TICKET	276	TICKET frame 1/1 send	7E 6C 00 00 01 00 14 01 03 00 00 11 01 00 00 01 11 00 00 02 20 EE F4 64 16 45 1C 00 00 00 00 00 00 00 00 01 00 01 00 D6 00 00 00 20 26 03 26 14 48 FF FF 20 26 03 27 15 27 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 01 00 02 00 A8 00 00 00 BD E2 B3 FD CB F8 B6 A8 A3 AC BD AB 34 31 31 B6 CF C2 B7 C6 F7 B2 D9 D7 F7 B5 BD B8 F4 C0 EB CE BB D6 C3 B2 A2 D6 B4 D0 D0 CB F8 B6 A8 00 54 44 2D 32 30 32 36 2D 30 33 2D 32 36 2D 30 30 30 30 30 35 2D C9 E8 B1 B8 BC EC D0 DE 2D B4 F3 BA E1 C7 D9 42 32 B5 CD D1 B9 C5 E4 B5 E7 B7 BF 2D 34 31 31 B6 CF C2 B7 C6 F7 00 68 A8
2026-03-26 15:27:37.893	TX>	5	TICKET	276	TICKET send	7E 6C 00 00 01 00 14 01 03 00 00 11 01 00 00 01 11 00 00 02 20 EE F4 64 16 45 1C 00 00 00 00 00 00 00 00 01 00 01 00 D6 00 00 00 20 26 03 26 14 48 FF FF 20 26 03 27 15 27 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 01 00 02 00 A8 00 00 00 BD E2 B3 FD CB F8 B6 A8 A3 AC BD AB 34 31 31 B6 CF C2 B7 C6 F7 B2 D9 D7 F7 B5 BD B8 F4 C0 EB CE BB D6 C3 B2 A2 D6 B4 D0 D0 CB F8 B6 A8 00 54 44 2D 32 30 32 36 2D 30 33 2D 32 36 2D 30 30 30 30 30 35 2D C9 E8 B1 B8 BC EC D0 DE 2D B4 F3 BA E1 C7 D9 42 32 B5 CD D1 B9 C5 E4 B5 E7 B7 BF 2D 34 31 31 B6 CF C2 B7 C6 F7 00 68 A8
2026-03-26 15:27:38.065	RAW~	5	--	0	RAW_RX +14 bytes	7E 6C 01 00 FF 00 04 00 5A 03 00 00 00 74
2026-03-26 15:27:38.065	RX<	5	ACK	4	ACK for 0x03	7E 6C 01 00 FF 00 04 00 5A 03 00 00 00 74
2026-03-26 15:27:38.066	EVT*	-1	TICKET	4	TICKET frame 1/1 ACK	--
2026-03-26 15:27:38.066	EVT*	-1	--	0	\u4f20\u7968\u53d1\u9001\u5b8c\u6210\uff0c\u5171 1 \u5e27	--
2026-03-26 15:27:55.298	EVT*	-1	--	0	RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0	--
2026-03-26 15:27:55.298	TX>	6	Q_TASK	17	Q_TASK(all) send	7E 6C FF 06 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
2026-03-26 15:27:55.305	RAW~	6	--	0	RAW_RX +32 bytes	7E 6C 01 06 FF 00 16 00 04 01 02 20 EE F4 64 16 45 1C 00 00 00 00 00 00 00 00 00 00 FF FF D1 EF
2026-03-26 15:27:55.305	EVT*	-1	Q_TASK	0	Q_TASK RX observed frame header 7E6C	--
