时间,方向,OpId,命令,长度,摘要,Hex
50:05.4,EVT*,-1,--,0,RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0,--
50:05.4,TX>,1,Q_TASK,17,Q_TASK(all) send,7E 6C FF 04 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
50:06.4,WARN!,1,Q_TASK,0,Retry 1/3 for Q_TASK,--
50:07.4,WARN!,1,Q_TASK,0,Retry 2/3 for Q_TASK,--
50:08.5,WARN!,1,Q_TASK,0,"Q_TASK soft-timeout, delay retry 1/2",--
50:08.5,EVT*,-1,--,0,Q_TASK 暂未响应，500ms 后自动重试(1/2),--
50:09.0,EVT*,-1,--,0,RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0,--
50:09.0,TX>,1,Q_TASK,17,Q_TASK(all) send,7E 6C FF 05 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
50:10.0,WARN!,1,Q_TASK,0,Retry 1/3 for Q_TASK,--
50:11.0,WARN!,1,Q_TASK,0,Retry 2/3 for Q_TASK,--
50:12.0,WARN!,1,Q_TASK,0,"Q_TASK soft-timeout, delay retry 2/2",--
50:12.0,EVT*,-1,--,0,Q_TASK 暂未响应，500ms 后自动重试(2/2),--
50:12.5,EVT*,-1,--,0,RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0,--
50:12.5,TX>,1,Q_TASK,17,Q_TASK(all) send,7E 6C FF 06 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
50:13.5,WARN!,1,Q_TASK,0,Retry 1/3 for Q_TASK,--
50:14.5,WARN!,1,Q_TASK,0,Retry 2/3 for Q_TASK,--
50:15.5,ERR!,1,Q_TASK,0,"Q_TASK timeout after 3 retries, keep port open",--
50:15.5,TX>,1,SET_COM,2,SET_COM send,7E 6C FF 07 00 00 02 00 0F 01 1C 11
50:15.5,WARN!,1,Q_TASK,0,Q_TASK timeout: no frame header observed,--
50:15.6,RAW~,1,--,0,RAW_RX +12 bytes,7E 6C FF 92 00 00 02 00 5A 0F A7 20
50:15.6,RX<,1,ACK,2,ACK for SET_COM,7E 6C FF 92 00 00 02 00 5A 0F A7 20
