时间,方向,OpId,命令,长度,摘要,Hex
2026-03-09 15:30:09.485,EVT*,-1,NAK,0,"串口已连接: COM10 (115200/8N1)","--"
2026-03-09 15:30:09.503,TX>,-1,SET_COM,2,"SET_COM send","7E 6C FF 00 00 00 02 00 0F 01 1C 11"
2026-03-09 15:30:10.047,RAW~,-1,NAK,0,"RAW_RX +12 bytes","7E 6C FF 68 00 00 02 00 5A 0F A7 20"
2026-03-09 15:30:10.048,EVT*,-1,NAK,0,"Verified port: COM10 (cmd=0x5a)","--"
2026-03-09 15:30:10.051,RX<,-1,ACK,2,"ACK for SET_COM","7E 6C FF 68 00 00 02 00 5A 0F A7 20"
2026-03-09 15:30:10.054,EVT*,-1,NAK,0,"SET_COM ACK without KEY_EVT, schedule Q_TASK probe in 200ms","--"
2026-03-09 15:30:10.255,EVT*,-1,NAK,0,"RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:30:10.255,EVT*,-1,Q_TASK,0,"Startup probe Q_TASK send (skip keyPresent gate)","--"
2026-03-09 15:30:10.255,TX>,-1,Q_TASK,17,"Q_TASK(all) send","7E 6C FF 01 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26"
2026-03-09 15:30:10.265,RAW~,-1,NAK,0,"RAW_RX +12 bytes","7E 6C 01 01 FF 00 02 00 04 00 D1 4C"
2026-03-09 15:30:10.265,EVT*,-1,Q_TASK,0,"Q_TASK RX observed frame header 7E6C","--"
2026-03-09 15:30:10.266,EVT*,-1,Q_TASK,2,"Q_TASK probe confirmed key present","--"
2026-03-09 15:30:10.269,EVT*,-1,Q_TASK,2,"Q_TASK response marked key stable","--"
2026-03-09 15:30:10.272,RX<,-1,Q_TASK,2,"Q_TASK resp: count=0","7E 6C 01 01 FF 00 02 00 04 00 D1 4C"
2026-03-09 15:30:44.891,RAW~,1,NAK,0,"[TICKET_PAYLOAD] STATIONID=0X01 HEADER=160B","--"
2026-03-09 15:30:44.891,RAW~,1,NAK,0,"────────────────────────────────────────────","--"
2026-03-09 15:30:44.891,RAW~,1,NAK,0,"  taskId=2030909063898431490 convOk=true taskType=0","--"
2026-03-09 15:30:44.891,RAW~,1,NAK,0,"  stepNum=1 stepTableStart=160 stringAreaStart=168","--"
2026-03-09 15:30:44.891,RAW~,1,NAK,0,"  stepDetail[0] off=168 len=46","--"
2026-03-09 15:30:44.891,RAW~,1,NAK,0,"  taskName off=214 len=59","--"
2026-03-09 15:30:44.891,RAW~,1,NAK,0,"  payloadLen=273 fileSize=273 check=11 01 00 00 01 11 00 00","--"
2026-03-09 15:30:44.891,EVT*,-1,NAK,0,"传票已编码：payload=273B frameCount=1","--"
2026-03-09 15:30:44.899,EVT*,-1,NAK,0,"发送传票帧 1/1 Cmd=0x03 Payload=273B","--"
