时间,方向,OpId,命令,长度,摘要,Hex
2026-03-03 10:24:09.699,EVT*,-1,NAK,0,"串口已连接: COM10 (115200/8N1)","--"
2026-03-03 10:24:09.718,TX>,-1,SET_COM,2,"SET_COM send","7E 6C FF 00 00 00 02 00 0F 01 00 1F"
2026-03-03 10:24:10.237,RAW~,-1,NAK,0,"RAW_RX +13 bytes","7E 6C 01 00 FF 00 03 00 00 0F 03 3C 53"
2026-03-03 10:24:10.237,ERR!,-1,NAK,3,"RESYNC CRC fail #1: calc=0x205d recv=0x3c53","6C 01 00 FF 00 03 00 00 0F 03 3C 53"
2026-03-03 10:24:10.241,ERR!,-1,NAK,3,"  detail: CRC_FAIL nextHdr=-1 Len=3 total=13","--"
2026-03-03 10:24:10.241,WARN!,-1,NAK,0,"RESYNC no header, drop 11 bytes","6C 01 00 FF 00 03 00 00 0F 03 3C"
2026-03-03 10:24:10.244,WARN!,-1,NAK,0,"  detail: recvBufBefore=12 recvBufAfter=1","--"
2026-03-03 10:24:10.728,WARN!,-1,ACK,0,"Retry 1/3 for SET_COM","--"
2026-03-03 10:24:10.737,RAW~,-1,NAK,0,"RAW_RX +13 bytes","7E 6C 01 00 FF 00 03 00 00 0F 03 3C 53"
2026-03-03 10:24:10.737,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","53"
2026-03-03 10:24:10.740,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=14","--"
2026-03-03 10:24:10.740,ERR!,-1,NAK,3,"RESYNC CRC fail #2: calc=0x205d recv=0x3c53","6C 01 00 FF 00 03 00 00 0F 03 3C 53"
2026-03-03 10:24:10.743,ERR!,-1,NAK,3,"  detail: CRC_FAIL nextHdr=-1 Len=3 total=13","--"
2026-03-03 10:24:10.743,WARN!,-1,NAK,0,"RESYNC no header, drop 11 bytes","6C 01 00 FF 00 03 00 00 0F 03 3C"
2026-03-03 10:24:10.746,WARN!,-1,NAK,0,"  detail: recvBufBefore=12 recvBufAfter=1","--"
2026-03-03 10:24:11.720,WARN!,-1,ACK,0,"Retry 2/3 for SET_COM","--"
2026-03-03 10:24:11.729,RAW~,-1,NAK,0,"RAW_RX +13 bytes","7E 6C 01 00 FF 00 03 00 00 0F 03 3C 53"
2026-03-03 10:24:11.729,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","53"
2026-03-03 10:24:11.732,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=14","--"
2026-03-03 10:24:11.732,ERR!,-1,NAK,3,"RESYNC CRC fail #3: calc=0x205d recv=0x3c53","6C 01 00 FF 00 03 00 00 0F 03 3C 53"
2026-03-03 10:24:11.734,ERR!,-1,NAK,3,"  detail: CRC_FAIL nextHdr=-1 Len=3 total=13","--"
2026-03-03 10:24:11.734,WARN!,-1,NAK,0,"RESYNC no header, drop 11 bytes","6C 01 00 FF 00 03 00 00 0F 03 3C"
2026-03-03 10:24:11.737,WARN!,-1,NAK,0,"  detail: recvBufBefore=12 recvBufAfter=1","--"
2026-03-03 10:24:12.733,ERR!,-1,ACK,0,"SET_COM timeout after 3 retries, keep port open","--"
2026-03-03 10:24:12.737,EVT*,-1,NAK,0,"钥匙未在位，等待重新放稳后自动重握手","--"
2026-03-03 10:24:35.435,RAW~,-1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 1D 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-03 10:24:35.435,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","53"
2026-03-03 10:24:35.439,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=16","--"
2026-03-03 10:24:35.439,ERR!,-1,NAK,5,"RESYNC CRC fail #4: calc=0xae0b recv=0x44a0","6C 00 1D 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-03 10:24:35.442,ERR!,-1,NAK,5,"  detail: CRC_FAIL nextHdr=-1 Len=5 total=15","--"
2026-03-03 10:24:35.442,WARN!,-1,NAK,0,"RESYNC no header, drop 13 bytes","6C 00 1D 00 00 05 00 11 00 00 00 00 44"
2026-03-03 10:24:35.445,WARN!,-1,NAK,0,"  detail: recvBufBefore=14 recvBufAfter=1","--"
2026-03-03 10:24:35.715,RAW~,-1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 1E 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-03 10:24:35.715,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","A0"
2026-03-03 10:24:35.718,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=16","--"
2026-03-03 10:24:35.718,ERR!,-1,NAK,5,"RESYNC CRC fail #5: calc=0xd8bf recv=0xd162","6C 00 1E 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-03 10:24:35.721,ERR!,-1,NAK,5,"  detail: CRC_FAIL nextHdr=-1 Len=5 total=15","--"
2026-03-03 10:24:35.721,WARN!,-1,NAK,0,"RESYNC no header, drop 13 bytes","6C 00 1E 00 00 05 00 11 01 00 00 00 D1"
2026-03-03 10:24:35.724,WARN!,-1,NAK,0,"  detail: recvBufBefore=14 recvBufAfter=1","--"
2026-03-03 10:24:37.663,RAW~,-1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 1F 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-03 10:24:37.664,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","62"
2026-03-03 10:24:37.667,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=16","--"
2026-03-03 10:24:37.667,ERR!,-1,NAK,5,"RESYNC CRC fail #6: calc=0xae0b recv=0x44a0","6C 00 1F 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-03 10:24:37.670,ERR!,-1,NAK,5,"  detail: CRC_FAIL nextHdr=-1 Len=5 total=15","--"
2026-03-03 10:24:37.670,WARN!,-1,NAK,0,"RESYNC no header, drop 13 bytes","6C 00 1F 00 00 05 00 11 00 00 00 00 44"
2026-03-03 10:24:37.673,WARN!,-1,NAK,0,"  detail: recvBufBefore=14 recvBufAfter=1","--"
2026-03-03 10:24:38.500,RAW~,-1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 20 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-03 10:24:38.500,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","A0"
2026-03-03 10:24:38.503,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=16","--"
2026-03-03 10:24:38.503,ERR!,-1,NAK,5,"RESYNC CRC fail #7: calc=0xd8bf recv=0xd162","6C 00 20 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-03 10:24:38.506,ERR!,-1,NAK,5,"  detail: CRC_FAIL nextHdr=-1 Len=5 total=15","--"
2026-03-03 10:24:38.506,WARN!,-1,NAK,0,"RESYNC no header, drop 13 bytes","6C 00 20 00 00 05 00 11 01 00 00 00 D1"
2026-03-03 10:24:38.509,WARN!,-1,NAK,0,"  detail: recvBufBefore=14 recvBufAfter=1","--"
2026-03-03 10:24:40.030,RAW~,-1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 21 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-03 10:24:40.030,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","62"
2026-03-03 10:24:40.034,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=16","--"
2026-03-03 10:24:40.034,ERR!,-1,NAK,5,"RESYNC CRC fail #8: calc=0xae0b recv=0x44a0","6C 00 21 00 00 05 00 11 00 00 00 00 44 A0"
2026-03-03 10:24:40.037,ERR!,-1,NAK,5,"  detail: CRC_FAIL nextHdr=-1 Len=5 total=15","--"
2026-03-03 10:24:40.037,WARN!,-1,NAK,0,"RESYNC no header, drop 13 bytes","6C 00 21 00 00 05 00 11 00 00 00 00 44"
2026-03-03 10:24:40.039,WARN!,-1,NAK,0,"  detail: recvBufBefore=14 recvBufAfter=1","--"
2026-03-03 10:24:40.385,RAW~,-1,NAK,0,"RAW_RX +8 bytes","00 00 00 78 FF FC FF F0"
2026-03-03 10:24:40.385,WARN!,-1,NAK,0,"RESYNC no header, drop 8 bytes","A0 00 00 00 78 FF FC FF"
2026-03-03 10:24:40.388,WARN!,-1,NAK,0,"  detail: recvBufBefore=9 recvBufAfter=1","--"
2026-03-03 10:24:40.450,RAW~,-1,NAK,0,"RAW_RX +15 bytes","7E 6C 00 22 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-03 10:24:40.450,WARN!,-1,NAK,0,"RESYNC drop 1 bytes","F0"
2026-03-03 10:24:40.453,WARN!,-1,NAK,0,"  detail: headerShift recvBufBefore=16","--"
2026-03-03 10:24:40.453,ERR!,-1,NAK,5,"RESYNC CRC fail #9: calc=0xd8bf recv=0xd162","6C 00 22 00 00 05 00 11 01 00 00 00 D1 62"
2026-03-03 10:24:40.456,ERR!,-1,NAK,5,"  detail: CRC_FAIL nextHdr=-1 Len=5 total=15","--"
2026-03-03 10:24:40.456,WARN!,-1,NAK,0,"RESYNC no header, drop 13 bytes","6C 00 22 00 00 05 00 11 01 00 00 00 D1"
2026-03-03 10:24:40.459,WARN!,-1,NAK,0,"  detail: recvBufBefore=14 recvBufAfter=1","--"
